 pays	 pays_lib	 syst	 syst_lib	 sect	 sect_lib	 agglo	 agglo_lib	 annee	 mois	 pue	 fm	 cap	 obs_sp_min	 obs_sp_max	 pue_sp_ecart_type	 pue_sp	cap_sp	 nbre_enquete_sp	 esp_lib	 eco_lib	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	5	22.623	149.833	3389.7	0.54	1.86	0.45	0.16	24	2	Malapterurus electricus	Continentale occasionnelle	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	5	22.623	149.833	3389.7	0.55	1.03	0.299	0.201	30.1	4	Mormyrus rume	Continentale occasionnelle	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	5	22.623	149.833	3389.7	5.28	5.28	1.272	0.352	52.7	1	Tilapia spp.		
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	5	22.623	149.833	3389.7	0.07	5.73	1.38	1.378	206.5	13	Hemichromis fasciatus	Estuarienne d'origine continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	5	22.623	149.833	3389.7	0.35	6.52	1.521	1.977	296.2	15	Lates niloticus	Continentale occasionnelle	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	5	22.623	149.833	3389.7	0.8	10.46	2.85	3.87	579.9	15	Labeo coubie	Continentale occasionnelle	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	6	19.254	126.667	2438.8	0.04	0.04	0.008	0.002	0.3	1	Ctenopoma kingsleyae	Continentale occasionnelle	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	6	19.254	126.667	2438.8	0.06	0.06	0.012	0.003	0.4	1	Schilbe mystus	Continentale à affinité estuarienne	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	6	19.254	126.667	2438.8	0.17	0.63	0.125	0.033	4.2	2	Brycinus macrolepidotus	Continentale à affinité estuarienne	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	6	19.254	126.667	2438.8	0.44	0.7	0.174	0.069	8.7	3	Distichodus brevipinnis	Continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	6	19.254	126.667	2438.8	0.16	2.77	0.545	0.324	41	12	Synodontis spp.		
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	6	19.254	126.667	2438.8	0.27	2.96	0.698	0.34	43.1	7	Hyperopisus bebe	Continentale occasionnelle	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	6	19.254	126.667	2438.8	0.18	2.47	0.579	0.375	47.5	9	Mormyrus rume	Continentale occasionnelle	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	6	19.254	126.667	2438.8	0.1	6.27	1.233	0.543	68.8	10	Bagrus docmak	Continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	6	19.254	126.667	2438.8	0.04	5.19	1.36	0.984	124.6	19	Synodontis schall	Continentale occasionnelle	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	6	19.254	126.667	2438.8	0.04	4.88	1.447	1.463	185.3	13	Chrysichthys auratus	Estuarienne d'origine continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	6	19.254	126.667	2438.8	0.05	14.74	3.219	1.63	206.5	17	Hydrocynus forskahlii	Continentale occasionnelle	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	6	19.254	126.667	2438.8	0.35	18.91	3.878	2.602	329.6	20	Lates niloticus	Continentale occasionnelle	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	6	19.254	126.667	2438.8	0.15	15.75	4.472	3.247	411.3	20	Sarotherodon galilaeus	Continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	7	25.237	318.42	8036	0.04	0.04	0.007	0.001	0.3	1	Schilbe spp.	Continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	7	25.237	318.42	8036	0.07	0.07	0.011	0.002	0.6	1	Hemichromis bimaculatus	Continentale occasionnelle	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	7	25.237	318.42	8036	0.06	0.23	0.043	0.015	4.8	5	Marcusenius senegalensis	Continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	7	25.237	318.42	8036	0.06	0.44	0.086	0.023	7.3	3	Tetraodon lineatus	Continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	7	25.237	318.42	8036	0.07	0.29	0.057	0.026	8.3	7	Schilbe intermedius	Continentale à affinité estuarienne	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	7	25.237	318.42	8036	3	3	0.486	0.083	26.4	1	Heterobranchus longifilis	Continentale à affinité estuarienne	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	7	25.237	318.42	8036	0.59	2.04	0.432	0.187	59.5	6	Labeo senegalensis	Continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	7	25.237	318.42	8036	1.5	2.83	0.631	0.229	72.9	4	Hydrocynus brevis	Continentale occasionnelle	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	7	25.237	318.42	8036	0.27	1.63	0.422	0.277	88.2	12	Hyperopisus bebe	Continentale occasionnelle	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	7	25.237	318.42	8036	0.03	2.53	0.617	0.289	92	16	Chrysichthys auratus	Estuarienne d'origine continentale	
