 pays	 pays_lib	 syst	 syst_lib	 sect	 sect_lib	 agglo	 agglo_lib	 annee	 mois	 pue	 fm	 cap	 obs_sp_min	 obs_sp_max	 pue_sp_ecart_type	 pue_sp	cap_sp	 nbre_enquete_sp	 esp_lib	 eco_lib	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	9	29.236	220	6431.9	0.09	4.35	1.174	1.187	261.1	20	Synodontis ocellifer	Continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	9	29.236	220	6431.9	0.26	12.86	3.048	3.143	691.5	24	Tilapia zillii	Continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	10	16.047	223.889	3592.7	0.06	0.06	0.01	0.002	0.4	1	Hemichromis bimaculatus	Continentale occasionnelle	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	10	16.047	223.889	3592.7	0.04	0.04	0.009	0.002	0.4	2	Schilbe intermedius	Continentale à affinité estuarienne	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	10	16.047	223.889	3592.7	0.03	0.09	0.016	0.004	0.9	3	Ctenopoma kingsleyae	Continentale occasionnelle	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	10	16.047	223.889	3592.7	0.08	0.12	0.023	0.006	1.3	2	Divers-Melange		
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	10	16.047	223.889	3592.7	0.09	0.14	0.026	0.007	1.6	2	Distichodus brevipinnis	Continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	10	16.047	223.889	3592.7	0.02	0.18	0.032	0.017	3.8	11	Chrysichthys auratus	Estuarienne d'origine continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	10	16.047	223.889	3592.7	0.05	0.38	0.08	0.037	8.3	7	Labeo senegalensis	Continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	10	16.047	223.889	3592.7	0.14	0.78	0.151	0.067	15	7	Brycinus macrolepidotus	Continentale à affinité estuarienne	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	10	16.047	223.889	3592.7	0.41	1.7	0.289	0.074	16.6	3	Clarias anguillaris	Continentale occasionnelle	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	10	16.047	223.889	3592.7	0.07	0.95	0.175	0.1	22.4	13	Synodontis spp.		
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	10	16.047	223.889	3592.7	0.14	7.22	1.186	0.348	77.9	9	Synodontis schall	Continentale occasionnelle	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	10	16.047	223.889	3592.7	1.67	4.85	1.106	0.431	96.5	5	Tilapia spp.		
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	10	16.047	223.889	3592.7	0.1	3.73	0.925	0.479	107.2	11	Mormyrops deliciosus	Continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	10	16.047	223.889	3592.7	0.15	4	1.229	1.131	253.2	31	Lates niloticus	Continentale occasionnelle	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	10	16.047	223.889	3592.7	0.05	39.4	8.113	2.601	582.3	16	Hyperopisus bebe	Continentale occasionnelle	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	11	24.659	253.333	6246.9	0.03	0.03	0.004	0.001	0.3	1	Schilbe mystus	Continentale à affinité estuarienne	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	11	24.659	253.333	6246.9	0.21	0.45	0.066	0.013	3.3	2	Bagrus docmak	Continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	11	24.659	253.333	6246.9	0.02	0.13	0.029	0.013	3.3	11	Ctenopoma kingsleyae	Continentale occasionnelle	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	11	24.659	253.333	6246.9	0.06	1.09	0.18	0.061	15.5	11	Malapterurus electricus	Continentale occasionnelle	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	11	24.659	253.333	6246.9	0.04	3.25	0.442	0.065	16.5	4	Marcusenius senegalensis	Continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	11	24.659	253.333	6246.9	0.02	3.56	0.693	0.424	107.4	28	Brycinus nurse	Continentale occasionnelle	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	11	24.659	253.333	6246.9	0.03	5.39	0.982	0.45	114	30	Hemichromis fasciatus	Estuarienne d'origine continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	11	24.659	253.333	6246.9	0.05	5.75	1.071	0.557	141.1	29	Synodontis ocellifer	Continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	11	24.659	253.333	6246.9	0.02	7.93	1.711	0.824	208.7	26	Mormyrus rume	Continentale occasionnelle	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	11	24.659	253.333	6246.9	0.05	9.45	2.125	1.07	271.1	25	Synodontis schall	Continentale occasionnelle	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	11	24.659	253.333	6246.9	0.03	26.84	4.39	1.665	421.8	33	Hyperopisus bebe	Continentale occasionnelle	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	11	24.659	253.333	6246.9	0.05	19.49	4.258	2.883	730.4	41	Hydrocynus forskahlii	Continentale occasionnelle	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	12	25.178	220.444	5550.3	0.04	0.18	0.031	0.007	1.5	3	Hemichromis bimaculatus	Continentale occasionnelle	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	12	25.178	220.444	5550.3	0.03	0.33	0.046	0.015	3.3	11	Schilbe intermedius	Continentale à affinité estuarienne	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	11	24.659	253.333	6246.9	0.03	0.3	0.051	0.017	4.3	8	Schilbe intermedius	Continentale à affinité estuarienne	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	11	24.659	253.333	6246.9	0.12	0.51	0.099	0.031	7.9	6	Clarias anguillaris	Continentale occasionnelle	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	11	24.659	253.333	6246.9	0.13	1.07	0.158	0.037	9.4	4	Heterobranchus longifilis	Continentale à affinité estuarienne	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	11	24.659	253.333	6246.9	0.04	1	0.171	0.068	17.2	14	Distichodus brevipinnis	Continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	11	24.659	253.333	6246.9	0.04	1	0.182	0.073	18.5	13	Brycinus macrolepidotus	Continentale à affinité estuarienne	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	11	24.659	253.333	6246.9	0.03	1.29	0.244	0.09	22.8	11	Raiamas senegalensis	Continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	11	24.659	253.333	6246.9	0.06	1.37	0.286	0.118	29.9	11	Barbus bynni occidentalis	Continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	11	24.659	253.333	6246.9	0.02	2.4	0.448	0.226	57.3	29	Chrysichthys auratus	Estuarienne d'origine continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	11	24.659	253.333	6246.9	0.09	2.06	0.363	0.272	68.9	25	Labeo senegalensis	Continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	11	24.659	253.333	6246.9	0.03	4.75	0.818	0.384	97.3	27	Synodontis spp.		
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	11	24.659	253.333	6246.9	0.08	6.25	1.114	0.687	174	30	Labeo coubie	Continentale occasionnelle	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	11	24.659	253.333	6246.9	0.02	8.7	1.447	0.737	186.7	33	Hydrocynus brevis	Continentale occasionnelle	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	11	24.659	253.333	6246.9	0.01	8.75	1.678	0.804	203.7	31	Mormyrops deliciosus	Continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	11	24.659	253.333	6246.9	0.02	13.72	3.076	2.551	646.3	49	Lates niloticus	Continentale occasionnelle	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	11	24.659	253.333	6246.9	0.02	9.89	2.412	2.585	654.9	44	Tilapia zillii	Continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	11	24.659	253.333	6246.9	0.02	58.6	13.103	7.936	2010.5	39	Sarotherodon galilaeus	Continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	12	25.178	220.444	5550.3	0.01	0.13	0.024	0.005	1.1	4	Petrocephalus spp.	Continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	12	25.178	220.444	5550.3	0.06	0.28	0.04	0.009	2	4	Ctenopoma kingsleyae	Continentale occasionnelle	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	12	25.178	220.444	5550.3	0.31	0.37	0.063	0.012	2.6	2	Heterobranchus longifilis	Continentale à affinité estuarienne	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	12	25.178	220.444	5550.3	0.05	0.24	0.045	0.019	4.2	9	Brycinus macrolepidotus	Continentale à affinité estuarienne	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	12	25.178	220.444	5550.3	0.07	0.5	0.106	0.046	10.1	11	Malapterurus electricus	Continentale occasionnelle	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	12	25.178	220.444	5550.3	0.25	2.1	0.433	0.177	39	10	Clarias anguillaris	Continentale occasionnelle	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	12	25.178	220.444	5550.3	0.07	6.54	0.995	0.415	91.5	22	Mormyrops deliciosus	Continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	12	25.178	220.444	5550.3	0.02	3.5	0.858	0.463	102.1	36	Chrysichthys auratus	Estuarienne d'origine continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	12	25.178	220.444	5550.3	0.08	10.92	2.297	1.382	304.7	28	Synodontis ocellifer	Continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	12	25.178	220.444	5550.3	0.04	10.91	1.878	1.463	322.5	39	Hydrocynus forskahlii	Continentale occasionnelle	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	12	25.178	220.444	5550.3	0.11	39.21	6.05	2.125	468.4	34	Mormyrus rume	Continentale occasionnelle	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	12	25.178	220.444	5550.3	0.02	11.17	2.611	2.261	498.4	43	Tilapia zillii	Continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	12	25.178	220.444	5550.3	1.35	1.35	0.179	0.025	5.5	1	Chrysichthys nigrodigitatus	Estuarienne d'origine continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	12	25.178	220.444	5550.3	0.03	0.51	0.099	0.036	7.9	9	Marcusenius senegalensis	Continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	12	25.178	220.444	5550.3	0.68	2.06	0.296	0.063	13.9	3	Heterobranchus spp.	Continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	12	25.178	220.444	5550.3	0.07	1.55	0.234	0.086	19	15	Distichodus brevipinnis	Continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	12	25.178	220.444	5550.3	0.13	2	0.342	0.127	28	11	Barbus bynni occidentalis	Continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	12	25.178	220.444	5550.3	0.33	1.61	0.324	0.138	30.4	9	Bagrus docmak	Continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	12	25.178	220.444	5550.3	0.08	2.75	0.503	0.219	48.3	22	Labeo senegalensis	Continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	12	25.178	220.444	5550.3	0.03	3.5	0.533	0.223	49.2	23	Brycinus nurse	Continentale occasionnelle	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	12	25.178	220.444	5550.3	0.02	4.36	0.627	0.301	66.4	27	Hydrocynus brevis	Continentale occasionnelle	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	12	25.178	220.444	5550.3	0.07	3.28	0.752	0.38	83.8	26	Synodontis spp.		
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	12	25.178	220.444	5550.3	0.07	3.5	0.658	0.467	102.9	35	Hemichromis fasciatus	Estuarienne d'origine continentale	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	12	25.178	220.444	5550.3	0.11	4.8	0.906	0.677	149.2	28	Labeo coubie	Continentale occasionnelle	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	12	25.178	220.444	5550.3	1.5	16.83	2.814	0.813	179.2	6	Tilapia spp.		
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	12	25.178	220.444	5550.3	0.11	13.96	2.647	1.109	244.5	16	Synodontis schall	Continentale occasionnelle	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	12	25.178	220.444	5550.3	0.04	10.68	2.352	2.444	538.8	50	Lates niloticus	Continentale occasionnelle	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	12	25.178	220.444	5550.3	0.07	38.5	6.951	3.21	707.6	39	Hyperopisus bebe	Continentale occasionnelle	
ML	Mali	5	Lac de Manantali	3	Amont	125	Bokadary daga	2002	12	25.178	220.444	5550.3	0.13	53.74	10.937	6.459	1423.8	47	Sarotherodon galilaeus	Continentale	
